day,new features,edits
2012-02-29 00:00:00+05:45,1,8
2012-02-02 00:00:00+05:45,818,40
2015-04-28 00:00:00+05:45,0,786
2013-02-14 00:00:00+05:45,1347,426
2013-05-12 00:00:00+05:45,556,518
2014-09-23 00:00:00+05:45,6054,213
2016-02-09 00:00:00+05:45,0,104
2008-07-13 00:00:00+05:45,547,22
2014-02-16 00:00:00+05:45,11,17
2016-08-21 00:00:00+05:45,0,5
2013-09-16 00:00:00+05:45,3908,3835
2013-05-18 00:00:00+05:45,7087,542
2016-05-22 00:00:00+05:45,0,1
2009-08-19 00:00:00+05:45,0,1
2014-05-28 00:00:00+05:45,4102,1396
2009-10-11 00:00:00+05:45,0,1
2013-11-16 00:00:00+05:45,0,2
2014-04-30 00:00:00+05:45,544,50
2012-12-24 00:00:00+05:45,2405,577
2012-03-18 00:00:00+05:45,1318,307
2012-09-08 00:00:00+05:45,2087,783
2016-09-29 00:00:00+05:45,0,6
2012-06-09 00:00:00+05:45,1670,757
2014-07-13 00:00:00+05:45,258,399
2014-11-30 00:00:00+05:45,5265,330
2015-07-12 00:00:00+05:45,0,2
2010-07-14 00:00:00+05:45,279,1
2014-10-11 00:00:00+05:45,4413,594
2015-08-31 00:00:00+05:45,0,2
2010-11-01 00:00:00+05:45,3598,26
2009-03-03 00:00:00+05:45,0,80
2009-10-28 00:00:00+05:45,1,8
2012-10-13 00:00:00+05:45,341,185
2012-02-21 00:00:00+05:45,17,2
2010-03-29 00:00:00+05:45,65,22
2009-09-12 00:00:00+05:45,0,1
2016-01-01 00:00:00+05:45,0,7
2014-07-29 00:00:00+05:45,3239,51
2010-11-06 00:00:00+05:45,93,27
2014-05-29 00:00:00+05:45,572,28
2009-06-24 00:00:00+05:45,554,10
2015-04-02 00:00:00+05:45,0,2
2012-06-27 00:00:00+05:45,323,1515
2016-03-29 00:00:00+05:45,0,1
2010-03-19 00:00:00+05:45,809,547
2007-03-18 00:00:00+05:45,1,0
2011-02-06 00:00:00+05:45,114,36
2016-10-19 00:00:00+05:45,0,1
2015-03-18 00:00:00+05:45,0,7
2015-07-02 00:00:00+05:45,0,24
2013-01-06 00:00:00+05:45,585,194
2011-11-11 00:00:00+05:45,1167,746
2014-06-17 00:00:00+05:45,289,835
2012-11-20 00:00:00+05:45,651,335
2010-09-11 00:00:00+05:45,0,1
2014-01-28 00:00:00+05:45,1803,200
2013-05-26 00:00:00+05:45,1218,514
2011-11-22 00:00:00+05:45,4279,96
2012-11-05 00:00:00+05:45,1493,156
2012-07-05 00:00:00+05:45,1,20
2010-06-04 00:00:00+05:45,82,67
2012-08-11 00:00:00+05:45,334,91
2011-09-14 00:00:00+05:45,0,1
2010-01-19 00:00:00+05:45,130,4
2014-02-09 00:00:00+05:45,1294,104
2012-09-28 00:00:00+05:45,523,665
2014-06-09 00:00:00+05:45,1821,230
2011-08-08 00:00:00+05:45,3300,213
2015-04-29 00:00:00+05:45,0,1152
2016-08-06 00:00:00+05:45,0,1
2012-11-21 00:00:00+05:45,914,148
2009-03-17 00:00:00+05:45,294,627
2008-11-25 00:00:00+05:45,6,2
2012-05-14 00:00:00+05:45,246,79
2013-03-19 00:00:00+05:45,8524,490
2013-12-12 00:00:00+05:45,344,71
2015-09-04 00:00:00+05:45,0,4
2011-08-25 00:00:00+05:45,180,93
2014-09-20 00:00:00+05:45,6317,166
2010-02-08 00:00:00+05:45,0,1
2012-09-30 00:00:00+05:45,235,403
2009-04-12 00:00:00+05:45,0,1
2013-12-30 00:00:00+05:45,59,123
2010-04-10 00:00:00+05:45,850,3
2013-02-08 00:00:00+05:45,1943,103
2014-07-18 00:00:00+05:45,3677,85
2014-04-15 00:00:00+05:45,13,13
2016-02-26 00:00:00+05:45,0,35
2012-11-06 00:00:00+05:45,2424,213
2013-01-02 00:00:00+05:45,828,99
2011-05-16 00:00:00+05:45,0,2
2015-06-17 00:00:00+05:45,0,183
2010-02-09 00:00:00+05:45,0,8
2015-11-18 00:00:00+05:45,0,3
2014-12-20 00:00:00+05:45,1847,158
